date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:38	182/182	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202006%2004:46:43%20GMT	https://spoj.sphere.pl/robots.txt		(from )
22:46:39	28567/28567	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:46:43%20GMT	https://spoj.sphere.pl/problems/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/index.html	(from )
22:46:41	28587/28587	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:46:45%20GMT	https://spoj.sphere.pl/problems/classical/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/classical/index.html	(from https://spoj.sphere.pl/problems/)
22:46:41	4769/4769	U-----	200	untouched ('OK')	text/css	etag:%22977f-12a1-f4402b80%22	https://spoj.sphere.pl/themes/skin3.css	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/themes/skin3.css	(from https://spoj.sphere.pl/problems/)
22:46:45	226/226	---M--	302	error ('Found')	text/html	date:Tue,%2010%20Jan%202006%2004:46:49%20GMT	https://spoj.sphere.pl/problems/challenge	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/challenge.html	(from https://spoj.sphere.pl/problems/)
22:46:51	28483/28483	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:46:55%20GMT	https://spoj.sphere.pl/problems/classical/sort=0,start=50	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/classical/sort=0,start=50.html	(from https://spoj.sphere.pl/problems/)
22:46:57	28716/28716	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:01%20GMT	https://spoj.sphere.pl/problems/classical/sort=0,start=150	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/classical/sort=0,start=150.html	(from https://spoj.sphere.pl/problems/)
22:47:04	28663/28663	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:08%20GMT	https://spoj.sphere.pl/problems/classical/sort=0,start=250	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/classical/sort=0,start=250.html	(from https://spoj.sphere.pl/problems/)
22:47:07	222/222	---M--	302	error ('Found')	text/html	date:Tue,%2010%20Jan%202006%2004:47:11%20GMT	https://spoj.sphere.pl/problems/?sort=2	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/indexa1a1.html	(from https://spoj.sphere.pl/problems/)
22:47:07	222/222	---M--	302	error ('Found')	text/html	date:Tue,%2010%20Jan%202006%2004:47:11%20GMT	https://spoj.sphere.pl/problems/?sort=1	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/indexfda1.html	(from https://spoj.sphere.pl/problems/)
22:47:07	222/222	---M--	302	error ('Found')	text/html	date:Tue,%2010%20Jan%202006%2004:47:12%20GMT	https://spoj.sphere.pl/problems/?sort=6	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/index3604.html	(from https://spoj.sphere.pl/problems/)
22:47:07	222/222	---M--	302	error ('Found')	text/html	date:Tue,%2010%20Jan%202006%2004:47:12%20GMT	https://spoj.sphere.pl/problems/?sort=7	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/index5945.html	(from https://spoj.sphere.pl/problems/)
22:47:07	222/222	---M--	302	error ('Found')	text/html	date:Tue,%2010%20Jan%202006%2004:47:12%20GMT	https://spoj.sphere.pl/problems/?sort=5	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/index4a4d.html	(from https://spoj.sphere.pl/problems/)
22:47:07	6227/6227	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:12%20GMT	https://spoj.sphere.pl/problems/TEST/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/TEST/index.html	(from https://spoj.sphere.pl/problems/)
22:47:08	6497/6497	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:12%20GMT	https://spoj.sphere.pl/problems/PRIME1/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/PRIME1/index.html	(from https://spoj.sphere.pl/problems/)
22:47:08	6448/6448	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:12%20GMT	https://spoj.sphere.pl/problems/SBSTR1/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/SBSTR1/index.html	(from https://spoj.sphere.pl/problems/)
22:47:08	6522/6522	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:13%20GMT	https://spoj.sphere.pl/problems/ONP/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/ONP/index.html	(from https://spoj.sphere.pl/problems/)
22:47:08	6554/6554	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:13%20GMT	https://spoj.sphere.pl/problems/PALIN/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/PALIN/index.html	(from https://spoj.sphere.pl/problems/)
22:47:08	9162/9162	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:13%20GMT	https://spoj.sphere.pl/problems/ARITH/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/ARITH/index.html	(from https://spoj.sphere.pl/problems/)
22:47:09	11356/11356	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:13%20GMT	https://spoj.sphere.pl/problems/BULK/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/BULK/index.html	(from https://spoj.sphere.pl/problems/)
22:47:09	9575/9575	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:13%20GMT	https://spoj.sphere.pl/problems/CMPLS/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/CMPLS/index.html	(from https://spoj.sphere.pl/problems/)
22:47:09	11437/11437	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:13%20GMT	https://spoj.sphere.pl/problems/DIRVS/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/DIRVS/index.html	(from https://spoj.sphere.pl/problems/)
22:47:09	9136/9136	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:14%20GMT	https://spoj.sphere.pl/problems/CMEXPR/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/CMEXPR/index.html	(from https://spoj.sphere.pl/problems/)
22:47:09	12132/12132	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:14%20GMT	https://spoj.sphere.pl/problems/MMIND/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/MMIND/index.html	(from https://spoj.sphere.pl/problems/)
22:47:10	17495/17495	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:14%20GMT	https://spoj.sphere.pl/problems/HOTLINE/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/HOTLINE/index.html	(from https://spoj.sphere.pl/problems/)
22:47:10	8716/8716	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:14%20GMT	https://spoj.sphere.pl/problems/FCTRL/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/FCTRL/index.html	(from https://spoj.sphere.pl/problems/)
22:47:10	13245/13245	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:14%20GMT	https://spoj.sphere.pl/problems/IKEYB/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/IKEYB/index.html	(from https://spoj.sphere.pl/problems/)
22:47:10	7286/7286	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:15%20GMT	https://spoj.sphere.pl/problems/SHPATH/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/SHPATH/index.html	(from https://spoj.sphere.pl/problems/)
22:47:10	6658/6658	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:15%20GMT	https://spoj.sphere.pl/problems/TETRA/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/TETRA/index.html	(from https://spoj.sphere.pl/problems/)
22:47:11	7835/7835	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:15%20GMT	https://spoj.sphere.pl/problems/CRYPTO1/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/CRYPTO1/index.html	(from https://spoj.sphere.pl/problems/)
22:47:11	6483/6483	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:15%20GMT	https://spoj.sphere.pl/problems/CRYPTO2/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/CRYPTO2/index.html	(from https://spoj.sphere.pl/problems/)
22:47:11	8062/8062	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:16%20GMT	https://spoj.sphere.pl/problems/CRYPTO3/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/CRYPTO3/index.html	(from https://spoj.sphere.pl/problems/)
22:47:11	8168/8168	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:16%20GMT	https://spoj.sphere.pl/problems/CRYPTO4/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/CRYPTO4/index.html	(from https://spoj.sphere.pl/problems/)
22:47:11	6795/6795	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:16%20GMT	https://spoj.sphere.pl/problems/TRICENTR/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/TRICENTR/index.html	(from https://spoj.sphere.pl/problems/)
22:47:12	6920/6920	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:16%20GMT	https://spoj.sphere.pl/problems/PIR/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/PIR/index.html	(from https://spoj.sphere.pl/problems/)
22:47:12	6247/6247	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:17%20GMT	https://spoj.sphere.pl/problems/FCTRL2/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/FCTRL2/index.html	(from https://spoj.sphere.pl/problems/)
22:47:12	6951/6951	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:17%20GMT	https://spoj.sphere.pl/problems/POUR1/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/POUR1/index.html	(from https://spoj.sphere.pl/problems/)
22:47:13	7754/7754	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:17%20GMT	https://spoj.sphere.pl/problems/SBANK/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/SBANK/index.html	(from https://spoj.sphere.pl/problems/)
22:47:13	7718/7718	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:17%20GMT	https://spoj.sphere.pl/problems/HMRO/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/HMRO/index.html	(from https://spoj.sphere.pl/problems/)
22:47:13	7800/7800	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:18%20GMT	https://spoj.sphere.pl/problems/BSHEEP/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/BSHEEP/index.html	(from https://spoj.sphere.pl/problems/)
22:47:13	7992/7992	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:18%20GMT	https://spoj.sphere.pl/problems/HASHIT/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/HASHIT/index.html	(from https://spoj.sphere.pl/problems/)
22:47:14	7907/7907	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:18%20GMT	https://spoj.sphere.pl/problems/BLINNET/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/BLINNET/index.html	(from https://spoj.sphere.pl/problems/)
22:47:14	6355/6355	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:18%20GMT	https://spoj.sphere.pl/problems/MUL/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/MUL/index.html	(from https://spoj.sphere.pl/problems/)
22:47:14	8159/8159	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:19%20GMT	https://spoj.sphere.pl/problems/NHAY/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/NHAY/index.html	(from https://spoj.sphere.pl/problems/)
22:47:14	7186/7186	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:19%20GMT	https://spoj.sphere.pl/problems/TRIP/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/TRIP/index.html	(from https://spoj.sphere.pl/problems/)
22:47:14	8125/8125	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:19%20GMT	https://spoj.sphere.pl/problems/RUNAWAY/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/RUNAWAY/index.html	(from https://spoj.sphere.pl/problems/)
22:47:15	9294/9294	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:19%20GMT	https://spoj.sphere.pl/problems/CODE1/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/CODE1/index.html	(from https://spoj.sphere.pl/problems/)
22:47:15	9556/9556	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:19%20GMT	https://spoj.sphere.pl/problems/PROPKEY/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/PROPKEY/index.html	(from https://spoj.sphere.pl/problems/)
22:47:15	8772/8772	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:20%20GMT	https://spoj.sphere.pl/problems/PIGBANK/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/PIGBANK/index.html	(from https://spoj.sphere.pl/problems/)
22:47:15	8056/8056	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:20%20GMT	https://spoj.sphere.pl/problems/STONE/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/STONE/index.html	(from https://spoj.sphere.pl/problems/)
22:47:16	8140/8140	U--M--	200	updated ('OK')	text/html	date:Tue,%2010%20Jan%202006%2004:47:20%20GMT	https://spoj.sphere.pl/problems/LABYR1/	C:/Misc/SPOJ/WebsiteCopy/SPOJ/spoj.sphere.pl/problems/LABYR1/index.html	(from https://spoj.sphere.pl/problems/)
