1(1 1)1
2(2 2)2
3(3 3)3
4(4 4)4
5(5 5)5
6(6 6)6
7(7 7)7
8(8 8)8
9(9 9)9
10(19 20)190
11(29 33)209
12(39 48)48
13(49 52)247
14(59 70)266
15(69 75)195
16(79 80)448
17(89 102)476
18(99 108)198
19(199 209)874
20(299 300)3980
21(399 399)399
22(499 506)2398
23(599 621)1679
24(699 720)888
25(799 800)4975
26(899 910)1898
27(999 999)999
28(1999 2016)7588
29(2999 3016)4988
30(3999 4020)39990
31(4999 5022)8959
32(5999 6016)17888
33(6999 7029)42999
34(7999 8024)28798
35(8999 9030)57995
36(9999 10008)29988
37(19999 20017)37999
38(29999 30020)59888
39(39999 40014)49998
40(49999 50000)699880
41(59999 60024)177899
42(69999 70014)88998
43(79999 80023)99889
44(89999 90024)479996
45(99999 100035)499995
46(199999 200008)589996
47(299999 300001)686999
48(399999 400032)699888
49(499999 500045)788998
50(599999 600000)9999950
51(699999 700026)889899
52(799999 800020)1989988
53(899999 900046)2989889
54(999999 1000026)1999998
55(1999999 2000020)60989995
56(2999999 3000032)7979888
57(3999999 4000032)5899899
58(4999999 5000006)8988898
59(5999999 6000005)8888999
60(6999999 7000020)79999980
61(7999999 8000028)9998998
62(8999999 9000044)19999898
63(9999999 10000053)19899999
64(19999999 20000000)59989888
65(29999999 30000035)69999995
66(39999999 40000026)67999998
67(49999999 50000023)58999999
68(59999999 60000004)99899888
69(69999999 70000017)79899999
70(79999999 80000060)898999990
71(89999999 90000026)289999997
72(99999999 100000008)399999888
73(199999999 200000071)499988899
74(299999999 300000070)5288967294
75(399999999 400000050)999999975
76(499999999 500000048)889998988
77(599999999 600000016)899897999
78(699999999 700000002)898999998
79(799999999 800000057)999899998
80(899999999 900000000)
